0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 0a
0a 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 0a
0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a 0a
